CO_column_number_density,millis,system:index,Timestamp,Year,Month,Day,DOY
-273.1492331138231,1614157344000,20210224T090230_20210224T093458,2021-02-24 09:02:24,2021,2,24,55
-273.1492263457264,1614157645000,20210224T090730_20210224T093537,2021-02-24 09:07:25,2021,2,24,55
-273.14930187770346,1614163344000,20210224T104230_20210224T113122,2021-02-24 10:42:24,2021,2,24,55
-273.1493059410994,1614163644000,20210224T104730_20210224T113200,2021-02-24 10:47:24,2021,2,24,55
-273.1492335879186,1614242845000,20210225T084730_20210225T091603,2021-02-25 08:47:25,2021,2,25,56
-273.1493251257955,1614248844000,20210225T102730_20210225T105727,2021-02-25 10:27:24,2021,2,25,56
-273.14934383583864,1614334045000,20210226T100730_20210226T103804,2021-02-26 10:07:25,2021,2,26,57
-273.1494137993685,1614334344000,20210226T101230_20210226T103841,2021-02-26 10:12:24,2021,2,26,57
-273.1493405508796,1614419244000,20210227T094730_20210227T101904,2021-02-27 09:47:24,2021,2,27,58
-273.14942348844465,1614419545000,20210227T095230_20210227T102005,2021-02-27 09:52:25,2021,2,27,58
-273.1494329059192,1614425544000,20210227T113230_20210227T121310,2021-02-27 11:32:24,2021,2,27,58
-273.1493272745478,1614504445000,20210228T092730_20210228T095958,2021-02-28 09:27:25,2021,2,28,59
-273.1493710397993,1614504744000,20210228T093230_20210228T100106,2021-02-28 09:32:24,2021,2,28,59
-273.14936004715594,1614510444000,20210228T110730_20210228T115403,2021-02-28 11:07:24,2021,2,28,59
-273.1494102173075,1614510744000,20210228T111230_20210228T115438,2021-02-28 11:12:24,2021,2,28,59
-273.1493169332111,1614589944000,20210301T091230_20210301T094135,2021-03-01 09:12:24,2021,3,1,60
-273.1493074863877,1614675199000,20210302T085324_20210302T092257,2021-03-02 08:53:19,2021,3,2,61
-273.14936889221576,1614681198000,20210302T103324_20210302T110300,2021-03-02 10:33:18,2021,3,2,61
-273.14942040082286,1614681499000,20210302T103824_20210302T110401,2021-03-02 10:38:19,2021,3,2,61
-273.1493409326159,1614766398000,20210303T101324_20210303T104419,2021-03-03 10:13:18,2021,3,3,62
-273.14939627226806,1614766698000,20210303T101824_20210303T104438,2021-03-03 10:18:18,2021,3,3,62
-273.1493584725849,1614851604000,20210304T095330_20210304T102455,2021-03-04 09:53:24,2021,3,4,63
-273.1493341218256,1614851904000,20210304T095830_20210304T102522,2021-03-04 09:58:24,2021,3,4,63
-273.1493653683294,1614857904000,20210304T113830_20210304T121856,2021-03-04 11:38:24,2021,3,4,63
-273.1493887181329,1614936804000,20210305T093330_20210305T100654,2021-03-05 09:33:24,2021,3,5,64
-273.1493376578516,1614937105000,20210305T093830_20210305T100726,2021-03-05 09:38:25,2021,3,5,64
-273.1493252325485,1614942804000,20210305T111330_20210305T120020,2021-03-05 11:13:24,2021,3,5,64
-273.1493416363267,1614943104000,20210305T111830_20210305T120123,2021-03-05 11:18:24,2021,3,5,64
-273.14931640811585,1615022304000,20210306T091830_20210306T094715,2021-03-06 09:18:24,2021,3,6,65
-273.1493391107727,1615022604000,20210306T092330_20210306T094734,2021-03-06 09:23:24,2021,3,6,65
-273.1493598820365,1615028304000,20210306T105830_20210306T114221,2021-03-06 10:58:24,2021,3,6,65
-273.1493869857597,1615028604000,20210306T110330_20210306T114132,2021-03-06 11:03:24,2021,3,6,65
-273.1493008751131,1615107504000,20210307T085830_20210307T092906,2021-03-07 08:58:24,2021,3,7,66
-273.1493317425284,1615107804000,20210307T090330_20210307T092947,2021-03-07 09:03:24,2021,3,7,66
-273.14932689907414,1615113505000,20210307T103830_20210307T110935,2021-03-07 10:38:25,2021,3,7,66
-273.1493790396362,1615113805000,20210307T104330_20210307T111007,2021-03-07 10:43:25,2021,3,7,66
-273.14927580981475,1615192704000,20210308T083830_20210308T091029,2021-03-08 08:38:24,2021,3,8,67
-273.1493216426816,1615198704000,20210308T101830_20210308T105111,2021-03-08 10:18:24,2021,3,8,67
-273.1493431727056,1615199004000,20210308T102330_20210308T105130,2021-03-08 10:23:24,2021,3,8,67
-273.1493215669902,1615283904000,20210309T095830_20210309T103157,2021-03-09 09:58:24,2021,3,9,68
-273.14930298992743,1615284204000,20210309T100330_20210309T103236,2021-03-09 10:03:24,2021,3,9,68
-273.14927665211275,1615290204000,20210309T114330_20210309T122602,2021-03-09 11:43:24,2021,3,9,68
-273.14931232536355,1615369169000,20210310T093935_20210310T101317,2021-03-10 09:39:29,2021,3,10,69
-273.1493418391781,1615369469000,20210310T094435_20210310T101335,2021-03-10 09:44:29,2021,3,10,69
-273.1493373827185,1615375470000,20210310T112435_20210310T120906,2021-03-10 11:24:30,2021,3,10,69
