O3_column_number_density,millis,system:index,Timestamp,Year,Month,Day,DOY
-273.14741924997753,1619863677000,20210501T100803_20210501T105113,2021-05-01 10:07:57,2021,5,1,121
-273.147283384832,1619863977000,20210501T101303_20210501T105017,2021-05-01 10:12:57,2021,5,1,121
-273.14736681813184,1619948877000,20210502T094803_20210502T103247,2021-05-02 09:47:57,2021,5,2,122
-273.147190146377,1619949177000,20210502T095303_20210502T103543,2021-05-02 09:52:57,2021,5,2,122
-273.14729757968036,1619954877000,20210502T112803_20210502T122644,2021-05-02 11:27:57,2021,5,2,122
-273.14732155279455,1619955177000,20210502T113303_20210502T122942,2021-05-02 11:32:57,2021,5,2,122
-273.1474157163059,1620034077000,20210503T092803_20210503T101316,2021-05-03 09:27:57,2021,5,3,123
-273.1471952396873,1620034378000,20210503T093303_20210503T101514,2021-05-03 09:32:58,2021,5,3,123
-273.1474736936601,1620040077000,20210503T110803_20210503T120618,2021-05-03 11:07:57,2021,5,3,123
-273.1472881782912,1620040377000,20210503T111303_20210503T120816,2021-05-03 11:12:57,2021,5,3,123
-273.14752148131674,1620119277000,20210504T090803_20210504T095513,2021-05-04 09:07:57,2021,5,4,124
-273.14734967832925,1620119577000,20210504T091303_20210504T095716,2021-05-04 09:12:57,2021,5,4,124
-273.1475176942901,1620125277000,20210504T104803_20210504T114844,2021-05-04 10:47:57,2021,5,4,124
-273.14724791279474,1620125577000,20210504T105303_20210504T114943,2021-05-04 10:52:57,2021,5,4,124
-273.1474193943238,1620204777000,20210505T085303_20210505T093444,2021-05-05 08:52:57,2021,5,5,125
-273.1473362440965,1620210777000,20210505T103303_20210505T111614,2021-05-05 10:32:57,2021,5,5,125
-273.1471879463902,1620211077000,20210505T103803_20210505T111913,2021-05-05 10:37:57,2021,5,5,125
-273.14737681045716,1620295978000,20210506T101303_20210506T105913,2021-05-06 10:12:58,2021,5,6,126
-273.1471314321787,1620296277000,20210506T101803_20210506T110213,2021-05-06 10:17:57,2021,5,6,126
-273.14746462352116,1620381177000,20210507T095303_20210507T103917,2021-05-07 09:52:57,2021,5,7,127
-273.14723889478466,1620381477000,20210507T095803_20210507T104214,2021-05-07 09:57:57,2021,5,7,127
-273.1472551862627,1620387477000,20210507T113803_20210507T123745,2021-05-07 11:37:57,2021,5,7,127
-273.14751276178475,1620466377000,20210508T093303_20210508T102013,2021-05-08 09:32:57,2021,5,8,128
-273.1473999056317,1620466677000,20210508T093803_20210508T102215,2021-05-08 09:37:57,2021,5,8,128
-273.1475146451977,1620472378000,20210508T111303_20210508T121346,2021-05-08 11:12:58,2021,5,8,128
-273.14736910914235,1620472678000,20210508T111803_20210508T121624,2021-05-08 11:17:58,2021,5,8,128
-273.14747299552033,1620551877000,20210509T091803_20210509T095912,2021-05-09 09:17:57,2021,5,9,129
-273.14727041864717,1620552177000,20210509T092303_20210509T100141,2021-05-09 09:22:57,2021,5,9,129
-273.14745245124317,1620557878000,20210509T105803_20210509T115253,2021-05-09 10:57:58,2021,5,9,129
-273.147234954709,1620558177000,20210509T110303_20210509T115615,2021-05-09 11:02:57,2021,5,9,129
-273.1475204548438,1620637077000,20210510T085803_20210510T094242,2021-05-10 08:57:57,2021,5,10,130
-273.147378806424,1620637378000,20210510T090303_20210510T094517,2021-05-10 09:02:58,2021,5,10,130
-273.1475055163681,1620643077000,20210510T103803_20210510T112313,2021-05-10 10:37:57,2021,5,10,130
-273.1472048847723,1620643377000,20210510T104303_20210510T112516,2021-05-10 10:42:57,2021,5,10,130
