SO2_column_number_density,millis,system:index,Timestamp,Year,Month,Day,DOY
-273.1499987536905,1619863677000,20210501T100803_20210501T105312,2021-05-01 10:07:57,2021,5,1,121
-273.1500020100611,1619863977000,20210501T101303_20210501T105211,2021-05-01 10:12:57,2021,5,1,121
-273.14999868064245,1619948877000,20210502T094803_20210502T103515,2021-05-02 09:47:57,2021,5,2,122
-273.1499990281851,1619949177000,20210502T095303_20210502T103742,2021-05-02 09:52:57,2021,5,2,122
-273.14999199389246,1619954877000,20210502T112803_20210502T122846,2021-05-02 11:27:57,2021,5,2,122
-273.14999599097604,1619955177000,20210502T113303_20210502T123214,2021-05-02 11:32:57,2021,5,2,122
-273.1499990177465,1620034077000,20210503T092803_20210503T101550,2021-05-03 09:27:57,2021,5,3,123
-273.14999752078904,1620034378000,20210503T093303_20210503T101741,2021-05-03 09:32:58,2021,5,3,123
-273.14999709574494,1620040077000,20210503T110803_20210503T120849,2021-05-03 11:07:57,2021,5,3,123
-273.1499961529943,1620040377000,20210503T111303_20210503T121043,2021-05-03 11:12:57,2021,5,3,123
-273.1500000949941,1620119277000,20210504T090803_20210504T095742,2021-05-04 09:07:57,2021,5,4,124
-273.1499977215707,1620119577000,20210504T091303_20210504T095913,2021-05-04 09:12:57,2021,5,4,124
-273.14999790147846,1620125277000,20210504T104803_20210504T115116,2021-05-04 10:47:57,2021,5,4,124
-273.1499969118583,1620125577000,20210504T105303_20210504T115214,2021-05-04 10:52:57,2021,5,4,124
-273.1499972636471,1620204777000,20210505T085303_20210505T093815,2021-05-05 08:52:57,2021,5,5,125
-273.14999739256757,1620210777000,20210505T103303_20210505T111813,2021-05-05 10:32:57,2021,5,5,125
-273.1499984340888,1620211077000,20210505T103803_20210505T112113,2021-05-05 10:37:57,2021,5,5,125
-273.1499982295598,1620295978000,20210506T101303_20210506T110111,2021-05-06 10:12:58,2021,5,6,126
-273.1500011781527,1620296277000,20210506T101803_20210506T110344,2021-05-06 10:17:57,2021,5,6,126
-273.1499981336711,1620381177000,20210507T095303_20210507T104115,2021-05-07 09:52:57,2021,5,7,127
-273.14999979927654,1620381477000,20210507T095803_20210507T104342,2021-05-07 09:57:57,2021,5,7,127
-273.1499942799475,1620387477000,20210507T113803_20210507T123944,2021-05-07 11:37:57,2021,5,7,127
-273.14999831498795,1620466377000,20210508T093303_20210508T102214,2021-05-08 09:32:57,2021,5,8,128
-273.149998077002,1620466677000,20210508T093803_20210508T102413,2021-05-08 09:37:57,2021,5,8,128
-273.1499843415586,1620472378000,20210508T111303_20210508T121644,2021-05-08 11:12:58,2021,5,8,128
-273.14999504405165,1620472678000,20210508T111803_20210508T121845,2021-05-08 11:17:58,2021,5,8,128
-273.14999775163403,1620551877000,20210509T091803_20210509T100114,2021-05-09 09:17:57,2021,5,9,129
-273.14998931281156,1620552177000,20210509T092303_20210509T100342,2021-05-09 09:22:57,2021,5,9,129
-273.14999705056186,1620557878000,20210509T105803_20210509T115745,2021-05-09 10:57:58,2021,5,9,129
-273.149998018905,1620558177000,20210509T110303_20210509T115913,2021-05-09 11:02:57,2021,5,9,129
-273.1499959469168,1620637077000,20210510T085803_20210510T094516,2021-05-10 08:57:57,2021,5,10,130
-273.1499827305517,1620637378000,20210510T090303_20210510T094715,2021-05-10 09:02:58,2021,5,10,130
-273.1499974787055,1620643077000,20210510T103803_20210510T112515,2021-05-10 10:37:57,2021,5,10,130
-273.14999777151854,1620643377000,20210510T104303_20210510T112714,2021-05-10 10:42:57,2021,5,10,130
