millis,pdsi,system:index,Timestamp,Year,Month,Day,DOY
1548979200000,-267.13036256735967,201902,2019-02-01,2019,2,1,32
1551398400000,-269.7350205599156,201903,2019-03-01,2019,3,1,60
1554076800000,-270.4011138111558,201904,2019-04-01,2019,4,1,91
1556668800000,-269.722660814422,201905,2019-05-01,2019,5,1,121
1559347200000,-269.56201666325416,201906,2019-06-01,2019,6,1,152
1561939200000,-270.0904781545852,201907,2019-07-01,2019,7,1,182
1564617600000,-270.5594707040732,201908,2019-08-01,2019,8,1,213
1567296000000,-270.66486265174746,201909,2019-09-01,2019,9,1,244
1569888000000,-270.5152326049925,201910,2019-10-01,2019,10,1,274
1572566400000,-268.2923597980081,201911,2019-11-01,2019,11,1,305
1575158400000,-269.180851131264,201912,2019-12-01,2019,12,1,335
1577836800000,-271.0926716036462,202001,2020-01-01,2020,1,1,1
