millis,pr,system:index,Timestamp,Year,Month,Day,DOY
1548979200000,-272.9501954502097,201902,2019-02-01,2019,2,1,32
1551398400000,-272.97070636272076,201903,2019-03-01,2019,3,1,60
1554076800000,-272.7661757359568,201904,2019-04-01,2019,4,1,91
1556668800000,-272.8826214273655,201905,2019-05-01,2019,5,1,121
1559347200000,-273.1027452918785,201906,2019-06-01,2019,6,1,152
1561939200000,-273.14789502621966,201907,2019-07-01,2019,7,1,182
1564617600000,-273.1079942090399,201908,2019-08-01,2019,8,1,213
1567296000000,-273.09332662727104,201909,2019-09-01,2019,9,1,244
1569888000000,-273.041126275344,201910,2019-10-01,2019,10,1,274
1572566400000,-272.323747944097,201911,2019-11-01,2019,11,1,305
1575158400000,-273.0096272124386,201912,2019-12-01,2019,12,1,335
1577836800000,-273.08631375253674,202001,2020-01-01,2020,1,1,1
