millis,system:index,vpd,Timestamp,Year,Month,Day,DOY
1548979200000,201902,-270.1967256061602,2019-02-01,2019,2,1,32
1551398400000,201903,-269.1830319107639,2019-03-01,2019,3,1,60
1554076800000,201904,-267.5210594102486,2019-04-01,2019,4,1,91
1556668800000,201905,-264.629087059088,2019-05-01,2019,5,1,121
1559347200000,201906,-262.11420509703777,2019-06-01,2019,6,1,152
1561939200000,201907,-261.9770446325624,2019-07-01,2019,7,1,182
1564617600000,201908,-262.3949877986898,2019-08-01,2019,8,1,213
1567296000000,201909,-263.6941057686518,2019-09-01,2019,9,1,244
1569888000000,201910,-266.4038802514668,2019-10-01,2019,10,1,274
1572566400000,201911,-269.61982530145104,2019-11-01,2019,11,1,305
1575158400000,201912,-270.4535920605686,2019-12-01,2019,12,1,335
1577836800000,202001,-270.9436661846427,2020-01-01,2020,1,1,1
