millis,system:index,vs,Timestamp,Year,Month,Day,DOY
1548979200000,201902,-266.93725119498697,2019-02-01,2019,2,1,32
1551398400000,201903,-265.7929855186642,2019-03-01,2019,3,1,60
1554076800000,201904,-266.4026694267185,2019-04-01,2019,4,1,91
1556668800000,201905,-267.59189514123824,2019-05-01,2019,5,1,121
1559347200000,201906,-266.6942941523002,2019-06-01,2019,6,1,152
1561939200000,201907,-265.9451377468167,2019-07-01,2019,7,1,182
1564617600000,201908,-266.0522810559172,2019-08-01,2019,8,1,213
1567296000000,201909,-266.6597728241879,2019-09-01,2019,9,1,244
1569888000000,201910,-268.0474884852792,2019-10-01,2019,10,1,274
1572566400000,201911,-267.3462821832149,2019-11-01,2019,11,1,305
1575158400000,201912,-268.2068588180097,2019-12-01,2019,12,1,335
1577836800000,202001,-266.7913614537711,2020-01-01,2020,1,1,1
